ncols 50
nrows 50
xllcorner 0
yllcorner 0
cellsize 1
nodata -99
99	66	27	38	29	18	20	10	75	47	100	43	37	52	51	16	26	37	91	13	47	47	83	18	41	53	79	70	29	75	30	46	61	100	69	36	43	99	82	93	65	41	84	42	98	71	94	83	21	81
39	79	65	96	21	84	84	76	30	51	94	68	49	87	66	19	44	91	23	56	65	57	60	96	37	70	16	19	44	53	80	20	26	40	93	59	38	66	72	97	24	43	65	99	46	36	69	55	94	62
95	74	70	97	10	31	35	69	96	60	46	53	12	52	51	58	46	29	78	90	34	78	22	36	98	60	64	57	15	63	69	60	19	94	35	65	85	98	48	59	94	45	52	94	57	62	48	88	69	88
19	77	42	55	81	42	36	68	63	78	39	22	16	12	12	76	14	11	50	70	10	10	13	96	74	80	65	70	55	89	26	30	47	82	53	47	52	81	33	31	99	94	23	92	36	22	41	27	90	66
59	18	86	27	72	35	18	99	28	76	58	56	78	49	50	90	15	99	14	33	92	78	72	81	87	83	27	62	95	91	48	94	85	95	73	29	93	42	50	83	16	17	24	42	61	93	57	93	69	15
36	46	99	15	33	80	41	40	38	19	60	36	46	42	70	13	38	81	66	86	71	74	40	96	82	35	39	22	81	31	31	92	61	70	85	64	83	94	39	12	91	10	37	54	95	38	63	96	78	62
25	90	44	27	74	93	13	13	97	46	45	39	59	48	30	71	42	96	76	29	45	66	57	99	97	25	96	49	31	42	59	67	68	31	74	85	38	44	41	11	44	95	33	25	71	59	52	82	43	70
13	31	90	66	88	34	59	33	42	72	97	32	21	61	94	79	100	30	94	56	58	53	11	57	100	17	65	92	67	94	100	94	87	13	45	86	13	56	96	57	10	37	57	23	29	37	86	10	72	81
63	22	65	16	44	97	97	28	34	15	17	28	28	54	57	22	32	57	76	11	19	53	33	21	27	90	73	45	55	87	42	40	68	38	66	100	38	79	88	61	23	53	66	24	30	76	35	21	15	95
39	33	61	49	54	48	74	30	71	17	23	59	27	62	82	26	94	45	49	16	60	30	25	30	94	43	92	54	20	81	38	50	37	17	93	31	99	41	91	24	49	29	22	17	28	48	31	43	40	62
75	30	89	86	91	15	45	99	96	32	44	75	22	68	80	23	13	36	27	27	76	79	32	42	14	72	51	58	41	59	99	44	44	62	13	24	97	81	38	92	84	16	27	71	75	53	91	48	10	54
64	32	69	28	40	24	92	49	65	83	57	32	60	70	12	13	35	58	58	86	35	47	27	79	95	52	73	93	32	89	40	58	75	77	69	57	58	80	11	47	59	85	77	43	71	85	41	68	67	71
91	46	59	47	86	58	29	47	63	21	82	100	23	87	17	87	62	31	28	21	70	63	86	52	56	87	22	31	18	60	86	93	44	56	35	10	29	68	76	98	41	83	43	50	12	72	18	84	27	62
74	62	35	87	34	38	27	70	24	86	84	95	26	12	61	73	54	74	87	40	57	31	64	92	91	66	70	13	92	28	51	15	28	18	96	73	23	12	73	12	91	48	90	35	41	28	30	57	20	40
51	35	38	84	44	63	32	100	86	30	63	35	55	32	29	72	47	56	96	85	40	97	88	50	26	32	89	32	75	96	93	10	36	71	64	18	71	92	46	22	73	82	88	21	26	14	96	58	50	90
30	97	92	64	66	85	26	61	98	25	17	68	53	93	90	74	60	60	85	94	82	53	38	67	37	85	77	55	87	58	39	73	70	95	91	40	29	40	51	17	14	40	70	82	34	23	41	13	14	25
35	34	24	80	49	13	15	26	30	39	59	19	11	65	62	46	64	47	94	53	60	59	95	17	83	99	22	25	57	48	67	99	80	41	29	97	75	88	94	79	42	98	58	72	48	95	93	39	31	85
